sp-km,sp-tekst-r,line_number
0.0,Schaarbeek,161
5.8,Brussel-Schuman,161
7.0,Brussel-Luxemburg,161
8.9,Etterbeek,161
10.1,Watermaal,161
12.0,Bosvoorde,161
17.0,Groenendaal,161
18.9,Hoeilaart,161
22.0,Terhulpen,161
23.2,Genval,161
25.2,Rixensart,161
27.7,Profondsart,161
30.0,Ottignies,161
34.1,Louvain-la-Neuve,161
36.0,Mont-Saint-Guibert,161
38.0,Blanmont,161
40.0,Chastre,161
45.0,Gembloers,161
47.6,Lonzée,161
53.0,Saint-Denis-Bovesse,161
56.0,Rhisnes,161
62.0,Namen,161
